ticker,chinese_name,english_name
000009.SZ,中国宝安,"China Baoan Group Co.,Ltd."
000021.SZ,深科技,"Shenzhen Kaifa Technology Co., Ltd."
000027.SZ,深圳能源,Shenzhen Energy Group Co Ltd
000032.SZ,深桑达A,Shenzhen SED Industry Co Ltd
000034.SZ,神州数码,"Digital China Group Co., Ltd."
000039.SZ,中集集团,China International Marine Containers (Group) Co Ltd
000050.SZ,深天马A,Tianma Microelectronics Co Ltd
000060.SZ,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd
000062.SZ,深圳华强,Shenzhen Huaqiang Industry Co Ltd
000088.SZ,盐田港,Shenzhen Yan Tian Port Holdings Co Ltd
000155.SZ,川能动力,SICHUAN NEW ENERGY POWER COMPANY LIMITED
000400.SZ,许继电气,XJ Electric Co Ltd
000415.SZ,渤海租赁,"Bohai Leasing Co.,Ltd."
000423.SZ,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd
000429.SZ,粤高速A,Guangdong Provincial Expressway Development Co Ltd
000513.SZ,丽珠集团,Livzon Pharmaceutical Group Inc
000519.SZ,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD"
000528.SZ,柳工,Guangxi Liugong Machinery Co Ltd
000537.SZ,绿发电力,"Green Development Electricity Group of Tianjin Co., Ltd"
000539.SZ,粤电力A,Guangdong Electric Power Development Co Ltd
000559.SZ,万向钱潮,Wanxiang Qianchao Co Ltd
000582.SZ,北部湾港,"Beibuwan Port Co.,Ltd."
000591.SZ,太阳能,"CECEP Solar Energy Co.,Ltd."
000598.SZ,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd."
000623.SZ,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd."
000629.SZ,钒钛股份,"Pangang Group Vanadium Titanium & Resources Co., Ltd."
000661.SZ,长春高新,Chang Chun High and New Technology Industry (Group) Inc.
000683.SZ,博源化工,Inner Mongolia Berun Chemical Company Limited
000703.SZ,恒逸石化,Hengyi Petrochemical Co Ltd
000709.SZ,河钢股份,HESTEEL COMPANY LIMITED
000723.SZ,美锦能源,"Shanxi Meijin Energy Co.,Ltd."
000728.SZ,国元证券,Guoyuan Securities Company Limited
000729.SZ,燕京啤酒,Beijing Yanjing Brewery Co Ltd
000733.SZ,振华科技,China Zhenhua (Group) Science & Technology Co Ltd
000737.SZ,北方铜业,"NORTH COPPER (SHANXI) CO., LTD."
000738.SZ,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD."
000739.SZ,普洛药业,"Apeloa Pharmaceutical Co., Ltd."
000750.SZ,国海证券,"Sealand Securities Co., Ltd."
000783.SZ,长江证券,Changjiang Securities Company Limited
000785.SZ,居然智家,"EASYHOME NEW RETAIL GROUP CO., LTD"
000786.SZ,北新建材,Beijing New Building Materials Public Ltd Co
000800.SZ,一汽解放,"FAW Jiefang Group Co., Ltd"
000825.SZ,太钢不锈,Shanxi Taigang Stainless Steel Co Ltd
000830.SZ,鲁西化工,"Luxi Chemical Group Co.,Ltd."
000831.SZ,中国稀土,"CHINA RARE EARTH RESOURCES AND TECHNOLOGY CO., LTD."
000878.SZ,云南铜业,Yunnan Copper Co Ltd
000883.SZ,湖北能源,Hubei Energy Group Co Ltd
000887.SZ,中鼎股份,"Anhui Zhongding Sealing Parts Co.,Ltd."
000893.SZ,亚钾国际,"Asia-Potash International Investment (Guangzhou) Co., Ltd."
000898.SZ,鞍钢股份,Angang Steel Co Ltd
000921.SZ,海信家电,"HISENSE HOME APPLIANCES GROUP CO.,LTD."
000932.SZ,华菱钢铁,Hunan Valin Steel Co Ltd
000937.SZ,冀中能源,Jizhong Energy Resources Co Ltd
000951.SZ,中国重汽,CNHTC Jinan Truck Co Ltd
000959.SZ,首钢股份,Beijing Shougang Co Ltd
000960.SZ,锡业股份,Yunnan Tin Co Ltd
000967.SZ,盈峰环境,Infore Environment Technology Group Co. Ltd.
000983.SZ,山西焦煤,"Shanxi Coking Coal Energy Group Co.,Ltd."
000987.SZ,越秀资本,"GUANGZHOU YUEXIU CAPITAL HOLDINGS GROUP CO., LTD."
000997.SZ,新 大 陆,"Newland Digital Technology Co.,Ltd."
