ticker,chinese_name,english_name
300450.SZ,先导智能,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD."
300476.SZ,胜宏科技,"Victory Giant Technology (HuiZhou)Co.,Ltd."
300498.SZ,温氏股份,"GUANGDONGWENSFOODSTUFFGROUPCO.,LTD"
300502.SZ,新易盛,"Eoptolink Technology Inc., Ltd"
300628.SZ,亿联网络,YEALINK NETWORK TECHNOLOGY CORPORATION LIMITED
300661.SZ,圣邦股份,SG Micro Corp.
300750.SZ,宁德时代,"Contemporary Amperex Technology Co., Limited."
300760.SZ,迈瑞医疗,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd."
300803.SZ,指南针,"Beijing Compass Technology Development Co., Ltd."
300832.SZ,新产业,"Shenzhen New Industries Biomedical Engineering Co., Ltd."
300866.SZ,安克创新,"Anker Innovations Technology Co., Ltd"
300896.SZ,爱美客,"IMEIK TECHNOLOGY DEVELOPMENT CO.,LTD."
300999.SZ,金龙鱼,"Yihai Kerry Arawana Holdings Co., Ltd"
301165.SZ,锐捷网络,"Ruijie Networks Co., Ltd."
301236.SZ,软通动力,"iSoftStone Information Technology (Group) Co., Ltd."
301269.SZ,华大九天,"Empyrean Technology Co., Ltd."
301308.SZ,江波龙,"Shenzhen Longsys Electronics Co., Ltd."
302132.SZ,中航成飞,AVIC CHENGDU AIRCRAFT COMPANY LIMITED
600000.SS,浦发银行,Shanghai Pudong Development Bank Co Ltd
600009.SS,上海机场,Shanghai International Airport Co Ltd
600010.SS,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd
600011.SS,华能国际,Huaneng Power International Inc
600015.SS,华夏银行,Hua Xia Bank Co Ltd
600016.SS,民生银行,China Minsheng Banking Corp Ltd
600018.SS,上港集团,Shanghai International Port (Group) Co Ltd
600019.SS,宝钢股份,Baoshan Iron &Steel Co Ltd
600023.SS,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd."
600025.SS,华能水电,HuanengLancang River Hydropower Inc.
600026.SS,中远海能,"COSCO SHIPPING Energy Transportation Co., Ltd."
600027.SS,华电国际,Huadian Power International Corporation Ltd
600028.SS,中国石化,China Petroleum & Chemical Corporation
600029.SS,南方航空,China Southern Airlines Co Ltd
600030.SS,中信证券,CITIC Securities Co Ltd
600031.SS,三一重工,Sany Heavy Industry Co Ltd
600036.SS,招商银行,China Merchants Bank Co Ltd
600039.SS,四川路桥,Sichuan Road&Bridge Co Ltd
600048.SS,保利发展,"Poly Developments and Holdings Group Co., Ltd."
600050.SS,中国联通,China United Network Communications Co Ltd
600061.SS,国投资本,"SDIC Capital Co., Ltd"
600066.SS,宇通客车,Zhengzhou Yutong Bus Co Ltd
600085.SS,同仁堂,Beijing Tongrentang Co Ltd
600089.SS,特变电工,TBEA Co Ltd
600104.SS,上汽集团,SAIC Motor Co Ltd
600111.SS,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd"
600115.SS,中国东航,"China Eastern Airlines Co., Ltd."
600118.SS,中国卫星,China Spacesat Co Ltd
600150.SS,中国船舶,China CSSC Holdings Limited
600160.SS,巨化股份,Zhejiang Ju Hua Co Ltd
600176.SS,中国巨石,"CHINA JUSHI CO., LTD."
600183.SS,生益科技,"Shengyi Technology Co.,Ltd."
600188.SS,兖矿能源,Yankuang Energy Group Company Limited
600196.SS,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd
600219.SS,南山铝业,"Shandong Nanshan Aluminium Co., Ltd."
600221.SS,海航控股,"Hainan Airlines Holding Co., Ltd."
600233.SS,圆通速递,"YTO Express Group Co.,Ltd."
600276.SS,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd
600309.SS,万华化学,"Wanhua Chemical Group Co., Ltd."
600346.SS,恒力石化,"Hengli Petrochemical Co.,Ltd."
600362.SS,江西铜业,Jiangxi Copper Co Ltd
600372.SS,中航机载,"AVIC Airborne Systems Co., Ltd."
600406.SS,国电南瑞,"NARI Technology Co., Ltd."
600415.SS,小商品城,Zhejiang China Commodities City Group Co Ltd
600426.SS,华鲁恒升,Shandong Hualu-Hengsheng Chemical Co Ltd
600436.SS,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd
600438.SS,通威股份,Tongwei Co Ltd
600460.SS,士兰微,Hangzhou Silan Microelectronics Co Ltd
600482.SS,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd"
600489.SS,中金黄金,Zhongjin Gold Co Ltd
600515.SS,海南机场,"Hainan Airport Infrastructure Co., Ltd"
600519.SS,贵州茅台,Kweichow Moutai Co Ltd
600522.SS,中天科技,Jiangsu Zhongtian Technologies Co Ltd
600547.SS,山东黄金,Shandong Gold-Mining Co Ltd
600549.SS,厦门钨业,Xiamen Tungsten Co Ltd
600570.SS,恒生电子,Hundsun Technologies Inc.
600584.SS,长电科技,"JCET Group Co., Ltd."
600585.SS,海螺水泥,Anhui Conch Cement Co Ltd
600588.SS,用友网络,"Yonyou Network Technology Co., Ltd."
600600.SS,青岛啤酒,Tsingtao Brewery Co Ltd
600660.SS,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd"
600674.SS,川投能源,Sichuan Chuantou Energy Co Ltd
600690.SS,海尔智家,"Haier Smart Home Co., Ltd."
600741.SS,华域汽车,HUAYU Automotive Systems Company Limited
600760.SS,中航沈飞,AVIC SHENYANG AIRCRAFT COMPANY LIMITED
600795.SS,国电电力,GD Power Development Co Ltd
600803.SS,新奥股份,"ENN Ecological Holdings Co., Ltd."
600809.SS,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd
600845.SS,宝信软件,Shanghai Baosight Software Co Ltd
600875.SS,东方电气,Dongfang Electric Corporation Limited
600886.SS,国投电力,"SDIC Power Holdings Co.,Ltd."
600887.SS,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd
600893.SS,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.
600900.SS,长江电力,China Yangtze Power Co Ltd
600905.SS,三峡能源,"China Three Gorges Renewables (Group) Co.,Ltd."
600918.SS,中泰证券,"ZHONGTAI SECURITIES CO., LTD."
600919.SS,江苏银行,"Bank of Jiangsu Co., Ltd"
600926.SS,杭州银行,"BANK OF HANGZHOU CO., LTD"
600930.SS,华电新能,Huadian New Energy Group Corporation Limited
600938.SS,中国海油,CNOOC Limited
600941.SS,中国移动,China Mobile Limited
600958.SS,东方证券,ORIENT SECURITIES COMPANY LIMITED
600989.SS,宝丰能源,"Ningxia Baofeng Energy Group Co., Ltd."
600999.SS,招商证券,China Merchants Securities Co Ltd
601006.SS,大秦铁路,Daqin Railway Co Ltd
601009.SS,南京银行,Bank of Nanjing Co Ltd
601012.SS,隆基绿能,"Longi Green Energy Technology Co., Ltd."
601018.SS,宁波港,Ningbo Port Co Ltd
601021.SS,春秋航空,"Spring Airlines Co., Ltd."
601058.SS,赛轮轮胎,"Sailun Group Co.,Ltd."
601059.SS,信达证券,"CINDA SECURITIES CO., LTD."
601066.SS,中信建投,"China Securities Co., Ltd."
601077.SS,渝农商行,"Chongqing Rural Commercial Bank Co., Ltd."
601088.SS,中国神华,China Shenhua Energy Co Ltd
601100.SS,恒立液压,"Jiangsu Hengli Hydraulic CO., Ltd."
601111.SS,中国国航,Air China Ltd
601117.SS,中国化学,China National Chemical Engineering Co Ltd
601127.SS,赛力斯,"Seres Group Co., Ltd."
601136.SS,首创证券,Capital Securities Corporation Limited
601138.SS,工业富联,"Foxconn Industrial Internet Co., Ltd."
601166.SS,兴业银行,Industrial Bank
601169.SS,北京银行,Bank of Beijing Co Ltd
601186.SS,中国铁建,China Railway Construction Co Ltd
601211.SS,国泰海通,"GUOTAI HAITONG SECURITIES CO., LTD."
601225.SS,陕西煤业,Shaanxi Coal Industry Company Limited
601229.SS,上海银行,"Bank of Shanghai Co., Ltd."
601238.SS,广汽集团,"Guangzhou Automobile Group Co., Ltd."
601288.SS,农业银行,Agricultural Bank of China Co Ltd
601318.SS,中国平安,Ping An Insurance (Group) Company of China Ltd
601319.SS,中国人保,The People's Insurance Company (Group) of China Limited
601328.SS,交通银行,Bank of Communications Co LTD
601336.SS,新华保险,New China Life Insurance Co Ltd
601360.SS,三六零,360 Security Technology Inc.
601377.SS,兴业证券,Industrial Securities Co Ltd
601390.SS,中国中铁,China Railway Group Limited
601398.SS,工商银行,Industrial and Commercial Bank of China Ltd
601456.SS,国联民生,Guolian Minsheng Securities Company Limited
601600.SS,中国铝业,Aluminum Corporation of China Limited
601601.SS,中国太保,China Pacific Insurance (Group) Co Ltd
601607.SS,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd"
601618.SS,中国中冶,Metallurgical Corporation of China Co Ltd
601628.SS,中国人寿,China Life Insurance Company Limited
601633.SS,长城汽车,Great Wall Motor Co Ltd
601658.SS,邮储银行,"POSTAL SAVINGS BANK OF CHINA CO., LTD."
601668.SS,中国建筑,China State Construction Engineering Co Ltd
601669.SS,中国电建,"Power Construction Corporation of China,Ltd"
601688.SS,华泰证券,Huatai Securities Co Ltd
601689.SS,拓普集团,"Ningbo Tuopu Group Co., Ltd."
601698.SS,中国卫通,"China Satellite Communications Co.,Ltd."
601727.SS,上海电气,Shanghai Electric Group Co Ltd
601728.SS,中国电信,China Telecom Corporation Limited
601766.SS,中国中车,CRRC Corporation Limited
601788.SS,光大证券,Everbright Securities Co Ltd
601800.SS,中国交建,China Communications Construction Company Limited
601816.SS,京沪高铁,"Beijing-Shanghai High Speed Railway Co.,Ltd"
601818.SS,光大银行,China Everbright Bank Co Ltd
601825.SS,沪农商行,"Shanghai Rural Commercial Bank Co.,Ltd."
601838.SS,成都银行,"BANK OF CHENGDU CO., LTD."
601857.SS,中国石油,PetroChina Co Ltd
601868.SS,中国能建,China Energy Engineering Corporation Limited
601872.SS,招商轮船,"China Merchants Energy Shipping Co., Ltd."
601877.SS,正泰电器,Zhejiang Chint Electrics Co Ltd
601878.SS,浙商证券,"ZHESHANG SECURITIES CO., LTD."
601881.SS,中国银河,"China Galaxy Securities Co., Ltd."
601888.SS,中国中免,China Tourism Group Duty Free Corporation Limited
601898.SS,中煤能源,China Coal Energy Co Ltd
601899.SS,紫金矿业,Zijin Mining Group Co Ltd
601901.SS,方正证券,Founder Securities Co Ltd
601916.SS,浙商银行,"CHINA ZHESHANG BANK CO.,LTD"
601919.SS,中远海控,"COSCO SHIPPING Holdings Co., Ltd."
601939.SS,建设银行,China Construction Bank
601985.SS,中国核电,"China National Nuclear Power Co.,Ltd."
601988.SS,中国银行,Bank of China Ltd
601995.SS,中金公司,China International Capital Corporation Limited
601998.SS,中信银行,China Citic Bank Corporation Limited
603019.SS,中科曙光,"Dawning Information Industry Co., Ltd."
603259.SS,药明康德,"WuXi AppTec Co., Ltd."
603260.SS,合盛硅业,"HOSHINE SILICON INDUSTRY CO.,LTD"
603288.SS,海天味业,Foshan Haitian Flavouring and Food Company Ltd.
603296.SS,华勤技术,"Huaqin Technology Co., Ltd."
603369.SS,今世缘,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd."
603392.SS,万泰生物,"BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE CO., LTD."
603501.SS,豪威集团,"Omni Vision Integrated Circuits Group, Inc."
603799.SS,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD."
603893.SS,瑞芯微,"Fuzhou Rockchip Electronics Co., Ltd."
603986.SS,兆易创新,GigaDevice Semiconductor (Beijing) Inc.
603993.SS,洛阳钼业,"China Molybdenum Co., Ltd."
605117.SS,德业股份,"Ningbo Deye Technology Co., Ltd."
605499.SS,东鹏饮料,"Eastroc Beverage (Group) Co.,Ltd."
688008.SS,澜起科技,"Montage Technology Co., Ltd."
688009.SS,中国通号,China Railway Signal & Communication Corporation Limited
688012.SS,中微公司,Advanced Micro-Fabrication Equipment Inc. China
688036.SS,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD."
688041.SS,海光信息,"Hygon Information Technology Co., Ltd."
688047.SS,龙芯中科,Loongson Technology Corporation Limited
688072.SS,拓荆科技,Piotech Inc.
688082.SS,盛美上海,"ACM Research (Shanghai) ,Inc."
688111.SS,金山办公,"Beijing Kingsoft Office Software, Inc."
688126.SS,沪硅产业,"National Silicon Industry Group Co.,Ltd."
688183.SS,生益电子,"SHENGYI ELECTRONICS CO., LTD."
688223.SS,晶科能源,"Jinko Solar Co., Ltd."
688256.SS,寒武纪,Cambricon Technologies Corporation Limited
688271.SS,联影医疗,"Shanghai United Imaging Healthcare Co., Ltd."
688303.SS,大全能源,"XinJiang Daqo New Energy Co.,Ltd"
688396.SS,华润微,China Resources Microelectronics Limited
688472.SS,阿特斯,"CSI Solar Co., Ltd."
688506.SS,百利天恒,"Sichuan Biokin Pharmaceutical Co.,Ltd."
688521.SS,芯原股份,"VeriSilicon Microelectronics (Shanghai) Co., Ltd."
688981.SS,中芯国际,Semiconductor Manufacturing International Corporation
